drain TotalCurrent(optipin_des) X,drain TotalCurrent(optipin_des) Y,drain TotalCurrent(pinfet_des) X,drain TotalCurrent(pinfet_des) Y
-,-,1.0239833,7.5072839e-08
-,-,1.0319833,6.9969089e-08
-,-,1.0399833,6.4863746e-08
-,-,1.0479833,5.9926342e-08
-,-,1.0559833,5.5221375e-08
-,-,1.0639833,5.1004413e-08
-,-,1.0719833,4.921554e-08
-,-,1.0799833,5.166466e-08
-,-,1.0879833,5.7159593e-08
-,-,1.0959833,6.4707199e-08
-,-,1.1039833,7.3914747e-08
-,-,1.1119833,8.1353265e-08
-,-,1.1199833,8.9539387e-08
-,-,1.1279833,9.8678973e-08
-,-,1.1359833,1.089657e-07
-,-,1.1439833,1.2086327e-07
-,-,1.1519833,1.3580566e-07
-,-,1.1599833,1.5517253e-07
-,-,1.1679833,1.8013619e-07
-,-,1.1759833,2.1093548e-07
-,-,1.1839833,2.4777155e-07
-,-,1.1919833,2.8591453e-07
-,-,1.1999833,3.2405375e-07
-,-,1.2,3.2413476e-07

